In1 , In2 , In3 , In4 , Out
1 , 1.36012583192 , 7.96430125558 , 0 , 14.2854492847
1 , 0.794139510778 , 92.0391471067 , 1 , 1008.31506207
0 , 3.35511228604 , 14.5346819556 , 0 , 34.0794931818
1 , 2.34461847974 , 95.4657093709 , 1 , 1023.94572668
1 , 4.96599011801 , 39.6540505059 , 1 , 1050.09445183
0 , 8.62776149847 , 50.096301739 , 1 , 86.7959594398
0 , 1.11785779327 , 65.3769495725 , 1 , 11.8448852071
0 , 2.42562483476 , 82.12997054 , 1 , 24.6049970482
0 , 8.75230133563 , 86.689725125 , 0 , 88.0328888922
0 , 2.62076216069 , 43.1062980696 , 0 , 26.7808069525
1 , 7.33421799199 , 87.6687754901 , 0 , 73.6224066174
1 , 5.41026764919 , 44.5385892588 , 0 , 54.7555540787
1 , 1.05301092503 , 62.7498528561 , 1 , 1010.55877801
0 , 9.1563624675 , 35.0113431473 , 1 , 91.7840932778
1 , 7.73754458808 , 72.9754990058 , 0 , 77.8022384803
1 , 4.55961374404 , 67.7545924224 , 1 , 1046.13753032
1 , 4.24167033835 , 81.6882327829 , 1 , 1042.71366161
0 , 6.18182433848 , 79.3724427479 , 0 , 62.3457825598
1 , 8.61460620926 , 55.6336584203 , 0 , 86.2223698445
1 , 5.66832627051 , 60.2059408494 , 0 , 56.8332902506
1 , 6.4883778593 , 81.0201836151 , 1 , 1065.32708067
0 , 6.20681281961 , 21.459533929 , 1 , 62.5142264809
1 , 9.80329085738 , 56.5070614912 , 1 , 1098.53989507
0 , 2.35274644085 , 40.9398915206 , 1 , 23.9715655535
1 , 0.61920920782 , 34.8681304245 , 1 , 1006.78441122
0 , 3.0128799986 , 29.9934459786 , 1 , 30.6650490709
0 , 6.60772762823 , 43.7138932853 , 0 , 66.4987178567
1 , 7.12008195195 , 85.1999073898 , 0 , 71.8858732755
0 , 5.89712035818 , 23.1426238447 , 0 , 59.0905185306
0 , 8.93027757511 , 59.209955717 , 1 , 89.9713637786
1 , 0.816121358371 , 11.3138993299 , 0 , 8.42172014976
0 , 6.50905537857 , 88.8760828109 , 0 , 65.2248370339
1 , 9.0064927029 , 13.0737968498 , 0 , 90.4773072139
1 , 5.72830932705 , 73.1069671204 , 0 , 57.5246102561
1 , 4.89347866533 , 56.5466543279 , 0 , 48.9706235935
0 , 1.59749547446 , 71.8991884463 , 1 , 16.6350934675
0 , 1.79739339152 , 46.9010049817 , 1 , 18.3009692673
1 , 3.24997258977 , 55.58859601 , 1 , 1032.87814417
1 , 5.15559830956 , 39.4352024901 , 0 , 51.5994535408
1 , 8.42106520509 , 36.0840454443 , 0 , 84.7668921515
1 , -1 , 75.7147051925 , 1 , 1069.53508988
0 , 3.63814574413 , 65.8135552825 , 0 , 37.0677907453
0 , 3.26083384284 , 32.3878190627 , 0 , 33.1530155836
0 , 1.93398484274 , 21.5454771839 , 1 , 19.5064470609
0 , 1.17121262364 , 22.4888124115 , 1 , 12.0826444066
0 , 6.31443236258 , 28.2059607697 , 0 , 63.2941822218
0 , 8.84262555553 , 28.2899464267 , 1 , 88.6509308878
0 , -1 , 19.6686470933 , 0 , 49.2450636628
1 , 9.12524262675 , 7.85753659821 , 1 , 1091.7911175
0 , 6.06830317766 , 33.781777591 , 0 , 61.013080491
1 , 4.02165009364 , 0.576930484316 , 1 , 1040.86331648
0 , 9.37843416421 , 54.5413168961 , 0 , 94.338544342
1 , 2.84899434131 , 7.93296109741 , 1 , 1028.51191915
1 , 7.92063664019 , 81.1629392499 , 0 , 79.9003184902
1 , 5.24062918865 , 28.9168975694 , 1 , 1052.88366696
0 , 3.93822732665 , 34.6502472746 , 1 , 39.9109689335
0 , 3.55304331907 , 10.0631641584 , 0 , 35.8168611189
1 , 3.40172932801 , 95.6862987264 , 0 , 34.3840331797
1 , 2.93783322398 , 25.0708616779 , 1 , 1029.51034029
0 , 6.50401804256 , 27.5472252375 , 0 , 65.1043374533
1 , 9.61993179625 , 77.0160234845 , 0 , 96.8719098865
0 , 6.05244789006 , 84.0481482717 , 1 , 60.5381736849
0 , 7.65276186503 , 47.4355827429 , 1 , 76.966225588
1 , 4.2491164298 , 72.3955142165 , 0 , 43.0044045425
0 , 5.40221282801 , 46.9337761089 , 1 , 54.4883009494
1 , 6.15612164524 , 50.5126101279 , 1 , 1061.78584402
